Item,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25
National contribution to the euro area monetary base,5831.9,5905.9,5852.2,5692.5,5785.1,4762.3,4528.9,4492.1,4627.5,4429.1,4617.1,6381.1,4964,5575.5,5685.7,6346.1,6434.1,6557.4,6661,6688.5,7062.8,7101.6,7375.1,8829.3,7944.4,8115,7544.8,7790.6,7735.5,7118.5,7755.3,7678.8,7991,8315.6,8376.8,8401.9,8058,8149.8,7969.6,8494.9,8204.4,8255.1,8070.3,8327.3,8428,9384.4,9332.3,10115.1,9911,9374.3,9685.2,10110.6,9679.9,9712.6,8445.1,8662.6,8657.9,8825.2,8863.4,9670.3,9041.1,9034.7,8817.2,8943.6,8740.5,8966.5,9221.7,9262.2,9491.6,9727.5,9695.8,10418.5,10260.9,10174.9,10151.3,10024.3,10085.3,9956.5,9502.6,9548.6,9808.4,10062.5,10355.7,11302.4,10560.4,10810.5,11126.9,10993.9,11006.4,11463.2,11190.5,11072.7,10910.8,10820.6,10918.7,12066.4,11172.3,11325.4,11577.3,11366.4,11286.1,11362.4,11295.4,11259.8,11621.4,10548.1,10458.2,10994.8,10402.4,10373.8,10495.5,10834,10809.9,10847.7,10941.9,11049.6,10968.8,11083.9,11533.1,12813,12185.1,12548.4,11952.4,11812.8,12137.7,11211.6,11431.5,11579.6,11399.2,11565.7,12112.9,14058.3,12997.8,12886.1,11804.2,11333.2,11196.4,10626.8,10306.4,10539.4,11147.1
     Currency in circulation,3779.6,3727.9,3715.4,3736.3,3745.6,3753.7,3783,3789.9,3788.6,3803,3824.7,3957.7,3742.1,3753.7,3788.8,3826.6,3846.9,3885,3941.2,3932.6,3925.9,3932.4,3951.7,4044.9,3968.1,3970,3998.8,4008.7,4023.3,4058.5,4099,4085.7,4098.2,4119,4125.5,4210.8,4147.8,4155.4,4166.4,4205.9,4209.5,4250.1,4272.6,4267.9,4277.2,4290.6,4285.1,4381.2,4294,4295,4356.8,4366,4384.7,4424.1,4455,4468.8,4477.2,4495,4507.9,4610.2,4435.7,4443.5,4462.5,4510.7,4519,4549.1,4588.7,4591.5,4600.1,4622.4,4645.9,4746.3,4676.7,4661.3,4789.6,4859,4927.8,4968.6,5018.4,5038.2,5048,5076.7,5113.3,5222.4,5197.7,5224.5,5272.1,5298.9,5352.4,5395.5,5454.1,5460.9,5480.2,5511.3,5533,5622.9,5605,5634.8,5730.5,5778.2,5802.1,5834.3,5828.7,5740.1,5704.5,5694,5676.8,5726.3,5623.9,5609.4,5621.2,5646.5,5649.2,5658,5669.6,5646.7,5629.6,5614.3,5599,5665.7,5601,5592.6,5620.8,5625.8,5632.1,5656.3,5675.2,5669,5661.6,5667.2,5672.4,5760.9,5684.5,5691.2,5693,5725.9,5737,5755.1,5778.6,5777.3,5768.5
     Current account holdings of credit institutions with Latvijas Banka,1417.3,1218.9,1191.8,1206.2,999.5,1008.6,745.9,702.2,838.9,626.1,792.4,2073.4,1221.9,1821.8,1896.9,2519.5,2587.2,2672.4,2719.8,2755.9,3136.9,3169.2,3423.4,4784.4,3976.3,4145,3546,3781.9,3712.2,3060,3656.3,3593.1,3892.8,4196.6,4251.3,4191.1,3910.2,3994.4,3803.2,4289,3994.9,4005,3797.7,4059.4,4150.8,5093.8,5047.2,5733.9,5617,5079.3,5328.4,5744.6,5295.2,5288.5,3990.1,4193.8,4180.7,4330.2,4355.5,5060.1,4605.4,4591.2,4354.7,4432.9,4221.5,4417.4,4633,4670.7,4891.5,5105.1,5049.9,5672.2,5584.2,5513.6,5361.7,5165.3,5157.5,4987.9,4484.2,4510.4,4760.4,4985.8,5242.4,6080,5362.7,5586,5854.8,5695,5654,6067.7,5736.4,5611.8,5430.6,5309.3,5385.7,6443.5,5567.3,5690.6,5846.8,5588.2,5484,5528.1,5466.7,5519.7,504.1,372.4,413,395.2,353.5,339.8,274.4,262.4,270.5,288.5,221,201.7,237.7,319.2,282,279.6,303.7,250.4,301.6,261,243.9,284.2,305.1,287.4,317,286.5,253,321.5,180.6,263.5,334.3,293.4,272.3,281,281.2,297.2,453.8
     Deposit facility,635,959.1,945,750,1040,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5412.8,4481.7,4368.4,4873.3,4425,4424.6,4599.9,4925.1,4890.2,4901.2,5051.3,5201.2,5101.5,5150.4,5652.1,6867.7,6280.4,6705.4,6030,5926,6261.7,5271.1,5451.2,5623.2,5420.6,5612,6187.5,7975.9,7132.7,6931.4,5776.9,5313.9,5187.1,4590.7,4246.6,4464.9,4924.8
Credit,1683.9,1595.5,1615.9,1611.7,1583.2,1577.6,1586.4,1577.2,1656.9,1628.8,1634.4,1671.7,1987.6,2069.2,2285.9,2437.7,2659.8,2902,3103.1,3132.6,3325.1,3554.9,3676.3,3822.8,4155.3,4592.6,4706.4,4754,4803.9,4848.4,4898.8,4908.7,4790.9,4846.8,4834.1,4795.8,4689,4156.9,4207.8,4261,4258,3720,4194.3,4191.9,4206.6,4205.6,4420.5,4477.7,4531.8,4815.8,4531.2,4552.9,4561.4,4400.8,4421.7,4362.4,4356.6,4394.6,4376.9,4368.6,4401.5,4396.5,4408,4429.1,4454.9,4313.9,4357.8,4241.6,4250.1,4314.7,4314.4,4369.7,4298.5,4288.8,4326.5,4509.6,4717.3,6058.3,6208.2,6255.5,6385.3,6410,6484.2,6489.6,6337.2,6535.3,6738,6984.6,7005.3,7246.5,7193.7,7190.8,7428.3,7388.1,7477.2,6885.1,6979.5,7017.6,7167.2,7254.6,7298.5,7227,7256.8,7227.7,7144.7,7121.9,7103.4,7119,7034.8,7144.3,7109.7,6837,6724.1,6455.3,6468,6479.9,6517.3,6479,6459.4,6487.4,6509.3,6358.9,6350.8,5952.7,5986.9,5869.6,5862.6,5885.5,5928.5,5955.4,5956.1,5952.2,5904.7,5873.1,5839.5,5738.9,5792.6,5802.4,5880.8,5876.5,5572.8
     To MFIs in the euro area,522.8,434.8,451.6,487.8,493.3,483.5,497.2,496.2,564.9,560.7,557.5,571.5,755.2,792.5,833.9,804.4,820.3,851.4,851,830,837.3,870.7,879.3,885.5,852.2,922.7,836.7,871,895.9,891.3,916.2,909.4,663.8,698.1,710.7,657.4,595,596.1,585.2,590.9,560.2,551.3,537.4,512.3,495.6,483,514.2,512.3,502.9,739.6,489.6,483.5,451,244.6,283.4,227.2,226.8,229.9,212.9,195.4,221.6,233.1,239.2,241.4,276,267.5,276.4,294.8,274.5,295.1,306.6,307.2,314.2,323.6,319.6,327,342.1,1511.2,1474.1,1471.7,1555.2,1553.5,1549,1520.8,1520,1553.5,1518.8,1540.7,1480.7,1531,1519.8,1499.1,1518.6,1471.2,1486.3,781.9,790.3,794.9,807.1,803.8,802.5,751,771.4,769,787.3,754,705.9,707,604.6,625,563.7,567.7,581.1,311.7,316.6,326.2,370.2,322.8,312.3,307.3,327.4,314.4,314.6,317.8,306.5,226.3,211.4,199.9,199,237.7,239.3,244.2,257.4,219.8,211.7,201.5,236.6,202.2,246.2,243.4,271.5
     To general government in the euro area,298.6,298.7,283.2,273,273.6,272.7,272.7,274.1,273.5,281.2,281.1,306.5,688.7,719.4,780.9,952.2,1211.8,1243.9,1274.6,1194.9,1273.1,1287.1,1202.1,1206.4,1387.2,1782.1,2003.8,2016.8,2051.5,2100.7,2129.6,2160.8,2296.6,2316.6,2273.7,2298.2,2266.1,1722.3,1769.9,1816.2,1845.7,1318.3,1843.3,1866.9,1891.7,1920.5,2075.1,2119,2148.7,2181.3,2137.5,2154.5,2197.6,2246,2280.7,2293.4,2294.4,2306.3,2308.7,2308.7,2315.9,2302,2309.7,2337.4,2367.3,2235.1,2270,2146,2177.6,2219.1,2223.5,2269.8,2257.5,2261.1,2308.6,2493.7,2686.1,2861.7,4379.6,4426.9,4458,4480.9,4552.6,4562.3,4397.5,4542.8,4748,4965.2,5012.9,5018.5,4965.8,4968.3,5088.6,5094.9,5143.3,5154.9,5259.2,5309.2,5445.2,5533.3,5590.7,5583.5,5587.1,5563.8,5522.8,5537.7,5561.3,5583.3,5590.8,5662.3,5664.6,5393.2,5251.9,5262.2,5266.7,5278.1,5274.6,5306.1,5285.1,5292.6,5305.2,5165.5,5140.2,4746.9,4776.4,4730.7,4741.7,4754.5,4766.2,4770.2,4780.7,4781.6,4707.4,4705.9,4701.2,4647.7,4648.6,4675.1,4690.4,4687.3,4315.4
     To other resident sectors in the euro area,862.5,862,881.1,850.9,816.3,821.4,816.5,806.9,818.5,786.9,795.8,793.7,543.7,557.3,671.1,681.1,627.7,806.7,977.5,1107.7,1214.7,1397.1,1594.9,1730.9,1915.9,1887.8,1865.9,1866.2,1856.5,1856.4,1853,1838.5,1830.5,1832.1,1849.7,1840.2,1827.9,1838.5,1852.7,1853.9,1852.1,1850.4,1813.6,1812.7,1819.3,1802.1,1831.2,1846.4,1880.2,1894.9,1904.1,1914.9,1912.8,1910.2,1857.6,1841.8,1835.4,1858.4,1855.3,1864.5,1864,1861.4,1859.1,1850.3,1811.6,1811.3,1811.4,1800.8,1798,1800.5,1784.3,1792.7,1726.8,1704.1,1698.3,1688.9,1689.1,1685.4,354.5,356.9,372.1,375.6,382.6,406.5,419.7,439,471.2,478.7,511.7,697,708.1,723.4,821.1,822,847.6,948.3,930,913.5,914.9,917.5,905.3,892.5,898.3,894.9,834.6,830.2,836.2,828.7,839.4,857,881.4,876.1,891.1,881.4,884.7,875.6,872.5,850.1,862,887.5,876.7,879,896,888,904,912.6,909.5,931.1,963.3,947.5,936.1,926.4,939.9,947.4,926.6,889.7,907.4,925.1,944.2,945.8,985.9
External assets outside euro area,2768.3,2734.1,2752.2,2729,2813.4,2796.3,2815.4,2830.6,2837.6,2798.4,2764.3,2867.1,3296.5,3183.7,3237.8,3113.4,3248.4,3189.3,3193.1,3264.7,3358.9,3417.8,3430.2,3327.1,3451.3,3678.2,3602.2,3877.9,4161.3,4378.7,4369.3,4519,5072.9,5296.8,5545.2,5620,5787.4,6125.3,6262.7,6385.7,6569,6780.2,6962.3,7164.1,7409.7,7630.9,8087.5,8194.4,8115.8,8282.3,8315.1,8454,8553.1,8519.4,8569.9,8683.8,8743.1,8851,8749.3,8717.1,8774.3,8810.8,8840.6,8857.8,8833.7,8827.7,8975.6,9002.5,9041.2,8976,9031.8,8892.3,9133.2,9154.2,9269,9542.5,9600.8,9781.7,9868.6,10045.7,10247,10379.6,10469.7,10653.7,10899.2,10915.4,11166.4,11145.7,11173.1,11359.6,11452,11903,11872.8,11972.1,12062.2,12117.5,12196.6,12300.6,12401.6,12666.1,12585.8,12636.2,12767.1,12731.8,12676,12268.7,12290.5,12323,12554,12498.2,12458.8,12438.5,12601.9,12556,12586.3,12609.1,12591.8,12400.4,12434.6,12369.5,12323.7,12273.9,12215.1,12048.2,12081.3,12200.7,12026.5,12046,11953.6,11818.5,11996.3,11918.1,11924.5,11935.4,11869.1,11671.8,11738.3,11684.7,11408.2,11347.6,11239.6
External liabilities outside euro area,46.5,20.5,3.3,28.4,62,9.3,5.2,28.9,5.4,23.2,73.7,24,27.3,14.7,10.4,14,5,5.8,20.6,22.5,2.3,0.6,3.5,9.6,1.8,3.8,9.8,4.6,1.1,9.7,1.4,3.3,3.9,3.8,1.1,17.9,6.5,1.1,9.1,13.5,24.3,11.1,19.8,23.5,4.9,1.1,12.2,3.2,25.4,6.7,4.6,1.1,1.1,1.6,1.3,11.2,5.5,1,1,131.8,241.2,305.6,756.8,1508.2,1567,1713.5,1714.2,1922.8,2029.2,1993.8,1985.3,1949.6,2101.7,2129.3,2050.9,2093.3,2095.5,2130,2238.5,2265.1,2327.9,2392.3,1915.6,1602.7,1484.9,926.6,728.3,700.2,710.9,728.8,719.3,720.1,735.3,748.7,747.8,746.3,756,772.5,771.8,795.5,773,787.5,649.8,327.3,31.2,44.9,176.3,206.4,193.1,312.5,447.3,455.6,461.2,400.6,485.5,481.9,484.9,643.1,660.5,641.8,62.5,48.9,196.4,352.7,367.5,333.5,330.9,291.8,187.4,113.8,113.4,123.7,162.9,86,35.8,36.4,36.4,57.5,34.9,50,81.2
